ID;Inschrijving;Generatiestudent;Departement;Opleiding;Opleidingstype;Woordenschat;Lidwoorden;Werkwoordspelling;Algemene_spelling;Woordvorming;Tekstanalyse;Correcte_taal;Email;Totaal_taalvaardigheid;Deductief_redeneren;Rekenen;Getallen;Verhoudingen;Vergelijkingen1;Vergelijkingen2;Goniometrie;Totaal_rekenvaardigheid;KritiS_T;ToepS_T;SameL_T;ZelfR_T;PlanR_T;StuuR_T;ZelfE_T;AutoM_T;Cont_M;AM_T;RelaS_T;AnalS_T;MemoS_T;Lemo_T;Digitap_sep;Digitap_okt;Digitap_nov;Digitap_dec;Digitap_gem;Teams_sep;Teams_okt;Teams_nov;Teams_dec;Teams_gem;Panopto_sep;Panopto_okt;Panopto_nov;Panopto_dec;Panopto_gem;StuuR_A;RelaS_A;KritiS_A;MemoS_A;AnalS_A;SameL_A;ZelfR_A;PlanR_A;ZelfE_A;AutoM_A;ContM_A;AM_A;ToepS_A;Lemo_A;Datum1;Datum2;Aantal_studiepunten;GPA;Aantal_OLODS
1140;Ja;Ja;MC;Bachelor in het bedrijfsmanagement;Bachelor;50;54;66.67;65;16;60;52.17;30;51.98;100;90;85.29;66.67;50;;;85.49;3;1.75;2.5;2.17;3.4;1.5;2.5;3;2.5;0;2.25;2.5;2;1;129;371;294;97;222.75;602;1316;2811;2108;1709.25;119;200;14;73;101.5;1.75;2.25;3.5;2;2.5;0;1.83;3.4;3;2.83;1.5;0;1.5;1;7-10-2020;7-10-2020;21;12;7
1271;Ja;;GW;Graduaat orthopedagogische begeleiding (Antwerpen);Graduaat;60;62;56.67;75;30;80;69.57;40;61.89;100;;;;;;;100;0.75;1.25;2;1.17;3.4;1.5;2;2.5;2.33;1;2;0.5;1;1;320;187;207;179;223.25;;1288;2185;2041;1838;;;;;;2;0.5;1;1.25;1;1.5;0.67;3.8;2.25;2;2.17;0.67;1;1;27-9-2020;28-9-2020;30;11;4
1297;Nee;Nee;WT;Bachelor in de toegepaste informatica;Bachelor;90;86;73.33;67.5;50;90;60.87;30;73.96;100;95;82.35;100;75;;;94.34;;;;;;;;;;;;;;0;229;102;316;210;214.25;866;4;8;194;268;;;40;10;25;1.75;2;1.5;2.5;3;3;1.67;3.2;2.25;2.67;1.17;0;0.75;1;;21-1-2021;30;10;6
1358;Nee;Nee;MC;Bachelor in het bedrijfsmanagement;Bachelor;85;82;73.33;65;52;85;56.52;40;71.27;100;90;67.65;66.67;50;;;81.08;3;2.25;2.75;1.5;2.4;1.25;2.75;3.33;2.67;0;2.75;2.25;3.5;1;177;267;206;179;207.25;0;767;1802;2032;1150.25;;866;366;;616;;;;;;;;;;;;;;0;23-9-2020;;27;10;2
1519;Nee;Nee;GW;Graduaat maatschappelijk werk (Mechelen);Graduaat;95;96;63.33;80;68;75;73.91;30;78.75;100;100;76.47;100;0;;;94.12;2.25;2.5;3;2.5;4;1;3.25;2.67;3.17;0.67;3.25;2.25;3;1;554;678;529;286;511.75;0;1187;2422;2015;1406;;72;69;77;72.67;;;;;;;;;;;;;;0;21-9-2020;;30;12;5
1536;Nee;Nee;GW;Graduaat maatschappelijk werk (Mechelen);Graduaat;90;80;53.33;85;58;85;56.52;50;72.55;100;95;76.47;100;100;;;92.87;2.25;1.5;1.5;2;2.8;2;2;3;0.83;0;2.25;2.25;3;1;361;421;333;104;304.75;;808;874;261;647.67;;343;0;288;210.33;;;;;;;;;;;;;;0;24-9-2020;;15;7;
1594;Ja;Ja;WT;Bachelor in de elektronica-ICT;Bachelor;90;84;43.33;80;38;90;65.22;80;70.08;100;100;97.06;100;100;100;;99.26;3.5;2.25;3.25;1.67;4;0;3.5;3;1;0.33;3.25;2.75;3;1;565;1189;939;1386;1019.75;147;1822;3149;2103;1805.25;252;501;276;113;285.5;;;;;;;;;;;;;;0;21-10-2020;;30;17;
1595;Ja;Ja;WT;Bachelor in de toegepaste informatica;Bachelor;80;72;66.67;75;48;75;43.48;50;65.73;100;95;94.12;100;100;80;;97.28;1.5;0.75;1.5;0.67;0.4;0.25;0.75;3.33;2.17;0;2;3.25;3;1;325;1456;690;790;815.25;0;692;247;86;256.25;71;3570;1727;1413;1695.25;;;;;;;;;;;;;;0;22-10-2020;;30;14;
1620;Ja;Nee;WT;Bachelor in de chemie;Bachelor;55;60;53.33;70;14;40;47.83;30;48.59;100;81.67;85.29;;;;;88.99;2;2;3.5;0.67;1.6;2.75;1;2;2.17;0.33;1.5;2;2.75;1;55;352;131;137;168.75;0;769;1838;1407;1003.5;;116;;;116;;;;;;;;;;;;;;0;5-10-2020;;18;10;4
1641;Ja;Ja;WT;Bachelor in de elektronica-ICT;Bachelor;75;;;;48;;;;61.5;100;100;100;66.67;50;;;91.67;1.75;3.75;3;2.83;3.8;1.75;2;3.83;0.17;0;2.75;3;2.75;1;385;1300;762;966;853.25;0;968;2371;2242;1395.25;;489;392;190;357;;;;;;;;;;;;;;0;20-9-2020;;30;18;5
1662;Ja;Ja;WT;Bachelor in de elektromechanica;Bachelor;;;;;;;;;;100;100;88.24;;;;;96.08;2.5;2.5;3.25;1.5;1.8;1.75;1.5;1.83;2.67;0.33;2.75;2.75;2.75;1;42;409;276;363;272.5;;106;208;236;183.33;;28;23;30;27;;;;;;;;;;;;;;0;23-10-2020;;24;11;4
1779;Ja;Ja;WT;Bachelor in de chemie;Bachelor;90;88;80;55;46;95;95.65;40;78.52;100;91.67;94.12;100;25;;;96.45;2;1.5;2.5;2.33;1.8;2.75;1.25;2;2.67;0.33;2.5;2.25;2.5;1;413;664;269;304;412.5;0;222;1204;922;587;;;;304;304;;;;;;;;;;;;;;0;7-10-2020;;18;13;7
1817;Nee;Nee;WT;Bachelor in de elektronica-ICT;Bachelor;100;98;93.33;77.5;74;75;73.91;60;84.54;100;100;97.06;100;100;80;;99.26;2;3;4;2.33;1.8;1.5;3;2;3.17;1.33;1.75;3;2.5;1;37;176;33;15;65.25;;586;1979;1219;1261.33;;100;217;;158.5;;;;;;;;;;;;;;0;4-10-2020;;22;14;4
1828;Ja;Nee;WT;Bachelor in de toegepaste informatica;Bachelor;90;;;;60;;;;75;100;100;97.06;66.67;75;;;90.93;1.5;1.75;1.25;1.33;2.2;0.75;3;3.33;1;0;2;1.5;2.5;1;290;272;614;204;345;323;670;1118;771;720.5;;117;;;117;;;;;;;;;;;;;;0;29-11-2020;;13;8;6
1830;Ja;Nee;WT;Bachelor in de elektronica-ICT;Bachelor;95;78;73.33;75;38;90;65.22;40;73.51;100;100;94.12;100;75;;;98.53;2.5;2.25;3;1.17;3.4;3.5;1.25;3.67;0;0;3.25;2.5;2.5;1;146;26;15;320;126.75;154;0;0;20;43.5;;;;63;63;;;;;;;;;;;;;;0;27-9-2020;;15;4;4
1842;Ja;Nee;WT;Bachelor in de elektronica-ICT;Bachelor;85;78;80;70;62;75;60.87;40;72.98;100;100;76.47;100;50;;;94.12;0.75;1.25;1.75;1;2.8;2.25;2;1.5;1.33;1.67;1.5;2;2.5;1;415;262;;;338.5;;0;;0;0;;159;;;159;;;;;;;;;;;;;;0;26-9-2020;;;;5
1852;Ja;Nee;WT;Bachelor in de toegepaste informatica;Bachelor;80;86;70;60;54;75;73.91;60;71.27;100;100;88.24;100;100;;;97.06;0.75;0.5;1.25;0.83;3.6;1.75;2.25;1.67;2.17;1.33;1;2;2.5;1;372;663;525;448;502;;988;1248;211;815.67;;235;;15;125;;;;;;;;;;;;;;0;23-9-2020;;22;14;7
1869;Ja;Nee;WT;Bachelor in de elektronica-ICT;Bachelor;75;86;83.33;65;56;90;82.61;80;76.85;100;95;97.06;100;100;;;98.01;2.25;3.5;2.75;0.5;2.6;1;2.75;2.83;1.83;0;3.25;2.25;2.5;1;136;603;394;440;393.25;120;1661;1785;1300;1216.5;40;6;63;;36.33;;;;;;;;;;;;;;0;21-10-2020;;30;12;6
1877;Ja;Ja;OT;Educatieve bachelor in het lager onderwijs;Overig;80;;;;44;75;;;66.33;100;95;100;100;75;;;98.75;1.5;2.25;1.75;1;2;2.25;1.75;2.5;2.5;1;2;2;2.5;1;167;343;79;249;209.5;255;1163;1352;1076;961.5;329;28;95;73;131.25;;;;;;;;;;;;;;0;21-10-2020;;27;11;7
1892;Ja;Nee;WT;Bachelor in de voedings- en dieetkunde;Bachelor;75;92;93.33;85;58;95;73.91;60;81.75;100;100;100;100;100;100;;100;1.25;3;1.75;1.17;1;2.25;0.75;2.5;2;0;1.75;1;2.5;1;137;566;393;201;324.25;401;729;1808;1186;1031;29;588;63;8;172;;;;;;;;;;;;;;0;4-11-2020;;31;16;6
2329;Ja;Ja;GW;Bachelor in de verpleegkunde (4j );Bachelor;90;82;56.67;75;52;90;73.91;60;74.23;100;100;91.18;100;100;100;72.92;97.79;0.75;1.75;1.25;0.67;1.8;1.75;1.5;1.67;0.17;0;1;0.75;1.75;1;211;517;880;437;511.25;279;327;1049;881;634;217;736;275;626;463.5;;;;;;;;;;;;;;0;11-10-2020;;25;9;6
2333;Ja;Ja;WT;Bachelor in de toegepaste informatica;Bachelor;75;88;70;72.5;48;70;65.22;40;69.82;100;100;100;100;100;100;78.75;100;2.75;2.25;2.75;1.5;2.4;1.75;2.75;3.5;2;0;2.75;3;1.75;1;332;531;320;229;353;375;1601;3256;2017;1812.25;0;225;90;39;88.5;;;;;;;;;;;;;;0;13-10-2020;;27;15;8
2334;Nee;Nee;GW;Bachelor in de toegepaste psychologie;Bachelor;80;88;80;87.5;68;80;82.61;70;80.87;100;95;97.06;66.67;75;80;37.92;89.68;2.25;1.75;2.5;0.33;2.6;1.25;1;2.33;1.33;0.67;3.25;2.25;1.75;1;452;844;1018;597;727.75;619;1284;2120;1665;1422;125;717;676;271;447.25;;;;;;;;;;;;;;0;13-10-2020;;27;9;4
2367;Ja;Ja;WT;Bachelor in de toegepaste informatica;Bachelor;90;86;70;62.5;32;65;65.22;60;67.25;100;100;97.06;100;100;100;81.25;99.26;1.25;1.5;1.5;0.67;3;1;1.5;3.17;2.67;2.33;2.25;2.5;1.75;1;97;770;53;66;246.5;120;933;546;;533;1;300;51;12;91;;;;;;;;;;;;;;0;21-10-2020;;3;5;5
